key,value
Rogue Lavellan,119
Ser Cauthrien,119
Vivienne,118
Cassandra,118
Brosca,118
Inquisitor Lavellan,116
Justice!Anders,116
Female Warrior Trevelyan,116
Clan Lavellan,114
Shianni,114
Rocky (Dragon Age),112
Dirthamen,110
Dragon Age: Inquisition Ensemble,109
Male Inquisitor,106
Female Warden,105
Grim (Dragon Age),105
Andruil,104
Male Rogue Hawke,104
Cyrion Tabris,101
Saemus Dumar,100
Connor Guerrin,97
Flemeth (Dragon Age),97
Dagna,96
Calpernia (Dragon Age),96
Falon'Din,96
Hadriana,95
Mabari - Character,94
Male Brosca,92
Gaspard de Chalons,92
Dragon Age: Inquisition Companions,92
Branson Rutherford,91
Bianca Davri,91
Male Mage Inquisitor,90
Various Characters,87
Female Warrior Inquisitor,87
Rosalie Rutherford,87
Rogue Trevelyan,87
Isolde Guerrin,86
Seneschal Bran,86
Theron Mahariel,86
Original Female Character,85
Dalish Elf | Elves,85
Bull's Chargers (Dragon Age),83
Evelyn Trevelyan,83
Male Warrior Trevelyan,83
The Warden,83
Shale,82
Original Qunari Character(s),81
Original Elvhen Character(s),80
Reader,79
Mage Warden (Dragon Age) - Character,79
Michel de Chevin,78
Trevelyan Family,78
Jean-Marc Stroud,77
Mother Giselle,77
Male Rogue Inquisitor,77
f!hawke,77
Mythal (Dragon Age),76
Female Shepard (Mass Effect),76
Feynriel,75
Sebastian,75
Male Mage Adaar,75
Isabella,74
Cadash,74
Amell (Dragon Age),73
Minor Characters,73
Elgar'nan,73
Male Aeducan,72
Female Human Warden,72
Jowan (Dragon Age),71
Original Mage Character(s),71
Mage Inquisitor (Dragon Age) - Character,70
Aquinea Thalrassian,69
Josephine,67
The Chargers,67
Justice Anders (Dragon Age),67
Ashaad,67
Bhelen Aeducan,66
Divine Victoria,66
Maryden Halewell,66
Elthina,66
Dog,66
Fen'Harel (Dragon Age),65
Mahariel (Dragon Age),65
Female Rogue Cousland,65
Ser Gilmore,65
Original Grey Warden Character(s),64
Bartrand Tethras,64
Prince Alistair Theirin,63
Athenril,63
Giselle (Dragon Age),61
Soris,61
Corypheus (Dragon Age),60
Original Dalish Character(s),60
Dragon Age: Inquisition Inner Circle,59
Tallis (Dragon Age),59
Bethany,59
Ghilan'nain,59
Female Warrior Lavellan,59
Abelas (Dragon Age),58
Duncan,58
M!Hawke,58
Original Elf Character(s),57
Male Rogue Trevelyan,57
Inquisitor Trevelyan,57
Background & Cameo Characters,57
Rica Brosca,57
Male Elf Warden (Dragon Age),57
Sigrun,57
Stroud (Dragon Age),56
Solona Amell,55
Male Warrior Hawke,55
Keeper Marethari,55
Templars - Character,55
Rilienus,54
Surana (Dragon Age),54
Finn (Dragon Age),54
Carver,54
Felassan,54
Elissa Cousland,54
Dragon Age: Inquisition Advisors,53
Sylaise,53
Riordan (Dragon Age),51
Original Non-Inquisitor Adaar(s),51
Krem,51
Adan (Dragon Age),50
Garrus Vakarian,50
Rogue Hawke,50
Livius Erimond,50
Hero of Ferelden,50
Greagoir,50
Male Rogue Lavellan,50
OCs,49
Seneschal Varel,49
Cabot (Dragon Age),48
Gorim Saelac,48
Desire Demon,48
Daveth,48
Dragon Age II Companions,47
Delilah Howe,47
Female Warrior Cousland,47
Kaidan Alenko,46
Florianne de Chalons,45
Desire Demon(s) (Dragon Age),45
Dragon Age Ensemble,44
Sandal Feddic,44
Wisdom (Dragon Age),44
Velanna (Dragon Age),43
Original Female Human Character(s),43
Danarius (Dragon Age),43
Tamlen (Dragon Age),43
Imshael (Dragon Age),43
Queen Cousland - Character,43
commander cullen,43
Female Rogue Tabris,43
Leske (Dragon Age),42
Agent(s) of Fen'Harel,42
Gordon Blackwall,42
Original Templar Character(s),42
Warrior Inquisitor,42
The Architect,42
Warden Commander Amell,42
Dalish (Dragon Age),42
Maxwell Trevelyan - Character,41
Female Dovahkiin | Dragonborn,41
Oriana Cousland,41
Tabris (Dragon Age),41
Original Male Character,41
Original Female Character(s) of Color,41
Andraste,41
Oren Cousland,40
Shianni (Dragon Age),40
Scout Harding,40
June,40
Female Rogue Mahariel,40
Male Warden,39
Harritt,39
Flissa (Dragon Age),39
Roderick Asignon,39
Jethann,39
Female Rogue Warden,39
Orana (Dragon Age),38
Maddox (Dragon Age),38
Female Dwarf Warden,38
Kai Trevelyan,38
Uldred,38
Scarlet Lavellan,38
Aeducan,38
Minaeve,37
Lily (Dragon Age),37
James Vega,37
Bann Trevelyan,37
Herren,37
Original Tevinter Character(s),36
Charter (Dragon Age),36
June (Dragon Age),36
King Alistair - Character,36
Marlowe Dumar,36
Templar (Dragon Age) - Character,36
Gatt,36
Ferron Lavellan,36
Harry Potter,35
Dirthamen (Dragon Age),35
You,35
Dragon Age II Ensemble,35
Warden,35
Bianca (Dragon Age),35
Amallia Trevelyan,35
Alim Surana,35
Dragon Age: Origins Ensemble,34
Soris (Dragon Age),34
Theo Trevelyan,34
Rhys (Dragon Age),34
Annabel Trevelyan,34
Adaar (Dragon Age),33
Justinia V,33
Ser Thrask,33
Elf Inquisitor,33
Keran (Dragon Age),33
Evie Trevelyan,33
Female Rogue Cadash,33
Bianca the Crossbow (Dragon Age),32
Female Amell (Dragon Age),32
Andruil (Dragon Age),32
The Divine,32
Venatori (Characters),32
Male Warrior Inquisitor,32
Dalish - Character,32
Fade Spirit(s),32
Warden Commander Cousland,32
Elf Warden,32
Architect (Dragon Age),31
Marjolaine,31
Wesley Vallen,31
Cousland (Dragon Age),31
Falon'Din (Dragon Age),31
Steve Rogers,31
Adaia Tabris,31
Leto,31
Nightmare (Dragon Age),31
Avernus,31
Irving,31
Arian Lavellan,31
Trevelyan Family (Dragon Age),30
Other(s),30
Meeran,30
Marethari Talas,30
Azzan Hawke,30
Ellana Lavellan - Character,30
Male Mage Warden,30
Dennet (Dragon Age),29
Female Mage(s) (Dragon Age),29
Orsino,29
Warden Commander,29
Wade (Dragon Age),29
Arl Eamon Guerrin,29
Taliesen (Dragon Age),28
Petrice (Dragon Age),28
Elgar'nan (Dragon Age),28
Ser Jory,28
Vivienne de Fer,28
Josephine Montilyet's Family,28
Tony Stark,28
Shokrakar,28
Leandra,28
Fabian Hawke,28
Arishok (Dragon Age),27
"Jeff ""Joker"" Moreau",27
Vengeance (Dragon Age),27
Dean Winchester,27
Regalyan D'Marcall,27
Anora,27
Female Caron,27
Inquisitor Adaar,27
Varel,27
Rima Lavellan,27
Sarita Lavellan,27
Liara T'Soni,26
Original Female Elf Character(s),26
Original Hawke Character(s),26
Male Shepard (Mass Effect),26
Samson,26
Sherlock Holmes,26
Sara Hawke,26
Orlesian Warden,26
Eurydice Lavellan - Character,26
Bull's Charger(s),26
Warrior Trevelyan,26
Tethiel Lavellan,26
Original Human Character(s),25
Chancellor Roderick,25
Varania (Dragon Age),25
Charade Amell,25
Quentin (Dragon Age),25
Trian Aeducan,25
Lirene,25
Original Lavellan-Solas Child(ren),25
Dread Wolf - Character,25
Urthemiel,25
Brigid Trevelyan,25
Natia Brosca,25
Warrior Hawke,25
Qunari - Character,25
Bram Kenric,24
Templar(s) (Dragon Age),24
Brosca (Dragon Age),24
Loki (Marvel),24
Inquisition Scout(s) (Dragon Age),24
Original Non-Warden Amell(s),24
Livia Herathinos,24
Megan Cousland,24
Female Warrior Adaar,24
Evangeline de Brassard,23
Brother Ferdinand Genitivi,23
Warden Commander Surana,23
Red Templar(s),23
Alain (Dragon Age),23
Donnic,23
Vaughan Kendells,23
Original Female Dalish Character(s),23
Various Dragon Age Characters,23
John Watson,23
Varlen Lavellan,23
First Enchanter Irving,23
Male Warrior Lavellan,23
Hawke Family,23
Original Character(s) - Character,22
Barkspawn,22
Mage Adaar,22
Mhairi,22
Valo-Kas,22
Meredith,22
Ser Karras,22
Original Hawke Child(ren),21
Helisma Derington,21
Inquisition Soldier(s) (Dragon Age),21
Original Non-Warden Cousland(s),21
Bran Cavin,21
Female OC,21
Grey Warden(s),21
Thomas Howe,21
The Inquisitor,21
Nelaros,21
Yvette Montilyet,21
Male Warrior Adaar,21
Old God Baby,21
Nonbinary Inquisitor (Dragon Age) - Character,21
Cullen Stanton Rutherford,21
Remli Lavellan,21
Hadriana (Dragon Age),20
Tali'Zorah nar Rayya,20
others - Character,20
Grace (Dragon Age),20
Ellana Lavellan,20
Niall (Dragon Age),20
Kaaras Adaar,20
Loranil,20
Quentin Surana (Warden),20
Thor (Marvel),20
Elvhen God(s),20
Evanuris - Character,20
Ser Barris,20
Ser Otto Alrik,20
Clint Barton,20
Endrin Aeducan,20
Thorin Oakenshield,20
Erlina,20
Arya Trevelyan,20
Desya Lavellan,20
Nesira Lavellan - Character,20
Custom Hawke - Character,19
Clarel de Chanson,19
Ghilan'nain (Dragon Age),19
Sylaise (Dragon Age),19
Lady Elegant,19
Rowan Guerrin,19
Orlesian Noble(s),19
Carroll (Dragon Age),19
Anthony Pentaghast,19
Envy Demon(s) (Dragon Age),19
Purple Hawke - Character,19
Original Avvar Character(s),19
Loghain,19
Cremisius Aclassi,19
Merril,19
Keeper Deshanna,19
Aggressive Hawke - Character,19
Zathrian,19
Celene I,19
cataline cousland,18
Female Adaar (Dragon Age),18
Dragon Age Companions,18
Neria Surana,18
non-inquisitor Lavellan - Character,18
Belinda Darrow,18
Briala,18
Inquisitor's Family (Dragon Age),18
The Maker (Dragon Age),18
Divine Justinia,18
EDI (Mass Effect),18
Iron Bull's Tamassran,18
Original Female Qunari Character(s),18
Xenon the Antiquarian,18
Original Trans Character(s),18
Stroud,18
Fenarel,18
Aedan Cousland,18
revas lavellan,18
Warrior Lavellan,18
Riordan,18
Karl (Dragon Age),18
Original Thedosian Character(s),17
Lavellan Clan (Dragon Age),17
theadosia trevelyan,17
Corff,17
Melissa Hawke,17
Original Fereldan Character(s),17
Lanaya,17
Frederic of Serault,17
Owain (Dragon Age),17
Mouse (Dragon Age),17
Sam Winchester,17
Original Dwarf Character(s),17
Warden Tabris,17
Miranda Lawson,17
Norah (Dragon Age),17
Bruce Banner,17
Rogue Tabris,17
Rogue Inquisitor (Dragon Age),17
Archdemon,17
Atheva Lavellan,17
Lyos Lavellan,17
Widald Amell,17
Warden Surana,16
Cadash (Dragon Age),16
Ariane (Dragon Age),16
Bastien de Ghislain,16
Ashley Williams,16
Mage Inquisitor - Character,16
Original Male Character(s) of Color,16
Marethari,16
Lavellan Clan,16
Crassius Servis,16
Grand Cleric Elthina,16
Andryanna,16
Cormac Hawke,16
Mara Lavellan,16
Original Non-Warden Surana(s),16
Serendipity,16
Noalanniel Lavellan,16
moira lavellan,16
Aeric Lavellan,16
Zeryn Brosca,16
Female Cadash (Dragon Age),15
Archdemon(s) (Dragon Age),15
Dairren,15
Original Inquisitor Child(ren) (Dragon Age),15
Otto Alrik,15
Dennet,15
Shepard (Mass Effect),15
Kieran,15
Mahanon Lavellan,15
Circle Mage(s),15
Gilan Cousland - Character,15
Knight-Commander Greagoir,15
Dorian's Mother,15
Thrask,15
Female Archer Inquisitor,15
Bog Unicorn - Character,15
Goldanna,15
Valendrian,15
Solange Lavellan,15
Theramina Brosca,15
F!Tabris,15
Lysette,14
Inquisitor Cadash,14
Serana (Elder Scrolls),14
Valta (Dragon Age),14
Gregor (Dragon Age),14
Pyral Harrowmont,14
Fiona,14
Hermione Granger,14
Male Dovahkiin | Dragonborn,14
Original Rutherford Child(ren),14
Qunari (Characters),14
Gwyn,14
Serendipity (Dragon Age),14
Warden Alistair - Character,14
Lily Trevelyan,14
OFC,14
Knight Captain Rylen,14
Celia Mac Tir,14
Red Jenny,14
Warden Cousland,14
Arl Eamon,14
Mistress Woolsey,14
anders (mentioned),14
Mage - Character,14
Freya Lavellan (OC),14
Anwen Trevelyan,14
Ashalle,14
Hissrad - Character,14
Male Caron,14
Rinna,14
sethras adaar,14
Alexius (Dragon Age),14
Male Rogue Mahariel,14
Female Blood Mage Hawke,14
Female Qunari Inquisitor,14
Bann Teagan Guerrin,14
Esme Cousland,14
Ketojan,14
Qunari OC,14
Erina Tabris,14
Ser Gilmore (Dragon Age),13
Scout Jim,13
Daveth (Dragon Age),13
Threnn (Dragon Age),13
Ameridan (Dragon Age),13
Ancient Elf | Elves (Dragon Age),13
Rilienus (Dragon Age),13
Nelaros (Dragon Age),13
Original Male Elf Character(s),13
Enansal Lavellan,13
Emeric (Dragon Age),13
Keran,13
Original Theirin Character(s),13
Cillian (Dragon Age),13
everyone,13
Sabrae Clan,13
Spirit(s) of Compassion (Dragon Age),13
Tiberius,13
Anton Hawke,13
Skinner,13
Ilyana Lavellan,13
Grey Warden,13
Eirwen Surana,13
Dragon Age: Origins Companions,13
Vaxus Trevelyan,13
Queen Anora,13
Demetra Trevelyan,13
Senior Enchanter Lydia,13
Judith Trevelyan (OC),13
Jarvia,13
Leverette Amell,13
Valythari Mahariel,13
Seranni,13
Dena Lavellan - Character,13
Alissa Trevelyan,13
Companion(s),13
Ellandra Trevelyan,13
Bella (Dragon Age),12
Mihris (Dragon Age),12
Elthina (Dragon Age),12
Solas (mentioned),12
Steve Cortez,12
Knight-Captain Rylen,12
Sutherland (Dragon Age),12
"James ""Bucky"" Barnes",12
Flora Harimann,12
Aeducan (Dragon Age),12
Leandra Amell,12
Original Female Elvhen Character(s),12
Livia Arida,12
Sergeant Kylon,12
The Dread Wolf,12
Inquisition Agent(s) (Dragon Age),12
Viddasala,12
Malika Cadash,12
Pepper Potts,12
Amethyne,12
Cullen Rutherford's Parents,12
Female Andras,12
Original Non-Warden Tabris(es),12
Nathaniel,12
Solivitus,12
Rion (Dragon Age),12
Dwarf Warden,12
Artemis Hawke - Character,12
Branka,12
Hespith,12
Kithshok,12
Adaia (Dragon Age),12
Shartan,12
Ru'riro Lavellan,12
Utha,12
f!Surana,12
Arren Mahariel,12
Flemeth | Mythal (Dragon Age),11
Jesse McCree,11
Hanzo Shimada,11
Sevarra Amell,11
Adorno Ciel Otranto,11
Andraste (Dragon Age),11
Original Male Human Character(s),11
Mhairi (Dragon Age),11
Original Avvar Character(s) (Dragon Age),11
Madame De Fer - Character,11
Bodhan,11
Harritt (Dragon Age),11
Felsi,11
male OC,11
Gascard DuPuis,11
Nonbinary Hawke,11
The Inquisition,11
Svarah Sun-Hair,11
Iona (Dragon Age),11
Maretus Varovelo,11
Vanora Tiberius,11
Urdnot Wrex,11
Felassan (Dragon Age),11
Katari,11
The Forgotten Ones,11
Original Vashoth Character(s),11
Dovahkiin | Dragonborn,11
Rowan (Dragon Age),11
Nyxale Hawke,11
Cailan,11
Teagan,11
Grey Wardens - Character,11
Natasha Romanov,11
Ser Bryant,11
Varric (Dragon Age),11
Sirius Black,11
Mages - Character,11
Threnn,11
Ian Lavellan,11
Elsa (Dragon Age),11
Constance Macayle,11
Karl,11
Bodahn,11
Persephone Trevelyan,11
Human Inquisitor,11
Galen Lavellan (OC),11
Mage Lavellan - Character,11
Felix (Dragon Age),11
Tamassran,11
Swiftrunner,11
Ciara Tabris,11
Master Ignacio,11
OMC,11
Maferath,11
Raymond Trevelyan,11
Lady Trevelyan - Character,11
Cat Trevelyan,11
Yvad Trevelyan,11
Kwerkus Mahariel,11
Sareyna Cousland,11
Laeti Mahariel,11
The Iron Bull (Dragon Age),10
Cyril de Montfort,10
Warden's Mabari (Dragon Age),10
Original Dalish Character(s) (Dragon Age),10
Original Animal Character(s),10
Kallian Tabris,10
Leliana (Mentioned),10
Original Hawke Character(s) (Dragon Age),10
City Elf | Elves (Dragon Age),10
The Bull's Chargers,10
Darkspawn - Character,10
Knight-Captain Cullen - Character,10
Mage(s) (Dragon Age),10
Original Non-Inquisitor Cadash(s),10
Darkspawn (Characters),10
Gorim,10
Original Female Characters,10
Jack | Subject Zero,10
Greg Lestrade,10
elain lavellan,10
Nick Fury,10
Uthvir,10
Marquis of Serault,10
Alduin,10
Phil Coulson,10
Fenris' Mother,10
Varric (mentioned),10
Caron (Dragon Age),10
Thorold Tethras,10
Alistair Therin,10
Nathaniel Trevelyan,10
Gilraena Lavellan,10
Non-Inquisitor Trevelyan,10
Empress Celene,10
Brenna Larossa,10
Lily,10
Female Warrior Cadash,10
Warden Amell,10
Female City Elf | Elves,10
Keram Adaar,10
Faycen Malik,10
galiana trevelyan,10
Fenor,10
Witherfang,10
Mr. Wiggums,10
Fíli,10
Taarbas,10
Rhys,10
Circle Mage,10
Logan Hawke,10
Hadynne Trevelyan - Character,10
Niall,10
Arlessa Isolde Guerrin,10
Ziya Surana,10
"Angela ""Mercy"" Ziegler",9
Samantha Traynor,9
Ezio Auditore da Firenze,9
Karin Chakwas,9
Renn (Dragon Age),9
Ron Weasley,9
Isabella (Dragon Age),9
basically everyone,9
City Elf | Elves,9
Slim Couldry,9
Ensemble,9
Lucius Corin,9
Modern Girl In Thedas - Character,9
Tallis,9
Feynriel (Dragon Age),9
Merill,9
Cullen Rutherford (Mentioned),9
Adaar Family (Dragon Age),9
Knight-Commander Meredith,9
Sares,9
Neb Trevelyan,9
Fox Tabris (Warden),9
More to come - Character,9
Kalah Brosca,9
Radonis (Dragon Age),9
Inner Circle,9
The Mother (Dragon Age),9
Rinna (Dragon Age),9
Hero of Kvatch | Champion of Cyrodiil,9
Diana Trevelyan,9
Schmooples,9
Templar,9
Warden Blackwall - Character,9
Gamlen,9
Red Templars - Character,9
Warden Mahariel,9
Ella (Dragon Age),9
Paxley,9
Ruvena,9
Rylen,9
Natasha Romanov (Marvel),9
Petra (Dragon Age),9
Master Dennet,9
Dahlia Lavellan,9
Amallia,9
garret hawke,9
Female Rogue Adaar,9
Seamus Dumar,9
Revka Amell,9
thea trevelyan,9
Bilbo Baggins,9
Kit Mahariel (Warden),9
Dwinna Aeducan (Warden),9
Hal'lasean Lavellan,9
Male Desire Demon,9
Lelianna,9
Gandalf,9
Taliesen,9
Warrior of Light,9
Tomwise,9
Seggrit,9
Madam Lusine,9
Qunari Inquisitor - Character,9
Nesiara,9
Male Rogue Cadash,9
Original Male Dalish Character(s),9
Fenera Lavellan,9
Vaeyin Lavellan,9
Fear Demon(s) (Dragon Age),9
Maraas,9
Dwalin,9
or,9
Franken!Solas,9
Others (Mentioned),9
Torania Cousland,9
Saarebas - Character,9
Bren's Elissa,9
Philander Cousland,9
Danica Amell,9
Reshalya (f!Mahariel),9
Ilya Surana,8
Razikale,8
Ser Cauthrien (Dragon Age),8
Kaitlyn (Dragon Age),8
Jacob Frye,8
Hawke's Mabari (Dragon Age),8
Geralt z Rivii | Geralt of Rivia,8
Female Brosca (Dragon Age),8
Jack Harkness,8
Aela the Huntress,8
Thane Krios,8
Ulfric Stormcloak,8
Gray Wardens,8
Lysette (Dragon Age),8
Anaris (Dragon Age),8
Anora Theirin,8
Dwarf | Dwarves,8
Uldred (Dragon Age),8
Karras,8
Habren Bryland,8
the Evanuris,8
(mentioned),8
Castiel (Supernatural),8
Bobby Singer,8
Lirene (Dragon Age),8
Original Tranquil Character(s),8
Elf Inquisitor (Dragon Age),8
the Arishok,8
Sophia Dryden,8
Leonas Bryland,8
Original Non-Human Character(s),8
Gisele,8
Vael Family,8
Grand Enchanter Fiona - Character,8
Alistair (mentioned),8
Stitches - Character,8
Rylock (Dragon Age),8
Altan Hawke,8
Stiles Stilinski,8
Knight Commander Meredith,8
Varric Tethras (Mentioned),8
Mage Warden,8
Karl Thekla (mentioned),8
Celene,8
Lyna Mahariel,8
Legolas Greenleaf,8
Mycroft Holmes,8
The Wayward Bard,8
Male Andras,8
F!Lavellan,8
Cassandra Pentaghast (mentioned),8
Rhian Amell,8
Meraad (Dragon Age),8
Non-Inquisitor Female Lavellan,8
Other - Character,8
Original Solas Child(ren),8
F!Trevelyan,8
Cousland Family,8
Jim,8
Merle Mahariel (Warden),8
Ketkoni Brosca (Warden),8
Talia Cousland (Warden),8
Wade,8
Geldauran,8
Adrian (Dragon Age),8
F!Warden,8
Darcy Lewis,8
Original Lavellan Child(ren),8
Dragon Age: Origins - Awakening Ensemble,8
Anders' Mother,8
Isaura Lavellan,8
various OCs,8
Valora,8
Kristoff (Dragon Age),8
Lady of the Forest,8
Amell Family,8
Alain,8
Other Party Members,8
Mage Mahariel,8
F!Cousland,8
Alarith,8
Kíli,8
Balin,8
Bann Teagan,8
Aeron Cousland,8
Wren Trevelyan,8
OC: Roisin Rutherford,8
Torania Cousland Theirin,8
Rayna Trevelyan,8
Bran,8
Original Trevelyan,8
Aurelie Trevelyan,8
Ben-Hassrath - Character,8
Thranduil,8
Luna Lavellan,8
Malia Cousland,8
Catte (OC),8
Owen Amell,8
Male Ryder | Scott,7
Dust Lavellan,7
Rose Tyler,7
Reaper | Gabriel Reyes,7
Genji Shimada,7
Tessa Forsythia,7
Minaeve (Dragon Age),7
Original Rutherford Child(ren) (Dragon Age),7
Cicero (Elder Scrolls),7
Original Arainai Character(s),7
Spirits (Character),7
House Trevelyan,7
Draco Malfoy,7
Albus Dumbledore,7
Edward Kenway,7
Female Aeducan (Dragon Age),7
Brennan (Dragon Age),7
theadosia mac tir,7
"Percival ""Percy"" Fredrickstein Von Musel Klossowski de Rolo III",7
Hadley (Dragon Age),7
Iron Bull (Dragon Age),7
Original Inquisitor,7
Justinia V (Dragon Age),7
Chantry Sister(s),7
the whole gang,7
Original Minor Characters,7
Shokrakar (Dragon Age),7
Valo-raas Adaar (Inquisitor),7
David Anderson,7
Sanga,7
Leliana's Raven(s),7
oc lavellan,7
Ihrá,7
Elryn Lavellan,7
Hannibal Lecter,7
Rocky,7
Herah Adaar,7
Paarthurnax,7
Derek Hale,7
Korra (Avatar),7
Tevinter Mage(s),7
Minor Original Characters - Character,7
Iron Bull (mentioned),7
Bianca,7
Rory Gilmore,7
Judah Trevelyan,7
Pride Demon(s) (Dragon Age),7
Nan,7
Airam Surana,7
Brynjolf,7
Invictus Hawke,7
Tamar (Dragon Age),7
Alcina Cadash,7
F!Inquisitor,7
Bijaka Lavellan,7
m!Cousland,7
Elspeth Trevelyan,7
Adaar's Parents,7
Leske,7
Gisele Surana,7
Nonbinary Mahariel,7
Adan,7
Kyra Lavellan,7
Kaeran Lavellan,7
Morrigan (mentioned),7
Cillian Trevelyan,7
Hawen,7
Original City Elf Character(s),7
Beraht,7
Nonbinary Lavellan,7
Cat - Character,7
jael mahariel,7
Mordin Solus,7
Mornemyr Lavellan,7
Avvar Cullen - Character,7
Knight Captain Cullen,7
Kurtis Stryker,7
Ania Amell,7
Mirevas Lavellan,7
Ser Perth,7
Lanaris Lavellan,7
Female Shepard,7
npcs,7
Taliesin (Dragon Age),7
Compassion,7
Sky Watcher,7
Male Lavellan|Inquisitor,7
Garrett,7
Mara Surana,7
Elaine Trevelyan,7
Pride Demon,7
Archer Trevelyan,7
Nora Trevelyan,7
Caridin,7
Rage Demon,7
Bofur,7
Manuel,7
Halani Lavellan,7
Amodisia Amell,7
Dylis Cousland,7
Edrear Hawke,7
Xeress Allora Hawke,7
Rhys Lavellan,7
Torania,7
Ethan Hawke,7
Celestial Lavellan,7
Aerys Lavellan,7
Aeryn Hawke,7
Anea Lavellan,7
Amarië Lavellan,7
Karen Hawke (OC),7
Fena'dea,7
Rylock,7
Fergus,7
Toph Beifong,6
Male Hawke (Dragon Age),6
Female Ryder | Sara,6
Gladiolus Amicitia,6
Harry Potter Characters,6
Seggrit (Dragon Age),6
Human Inquisitor (Dragon Age),6
"Lena ""Tracer"" Oxton",6
